produto;quantidade;ano
VINHO DE MESA;98.327.606;1970
Tinto;83.300.735;1970
Rosado;107.681;1970
Branco;14.919.190;1970
VINHO FINO DE MESA;4.430.629;1970
Tinto;435.354;1970
Rosado;183.234;1970
Branco;3.812.041;1970
VINHO FRIZANTE;466.480;1970
VINHO ORGÂNICO;-;1970
VINHO ESPECIAL;7.325.789;1970
Tinto;4.730.346;1970
Rosado;1.229.564;1970
Branco;1.365.879;1970
ESPUMANTES;2.743.678;1970
Espumante Moscatel;-;1970
Espumante;-;1970
Espumante Orgânico;-;1970
SUCO DE UVAS;2.626.855;1970
Suco Natural Integral;-;1970
Suco Adoçado;-;1970
Suco Reprocessado/reconstituido;-;1970
Suco Orgânico;-;1970
Outros sucos de uvas;-;1970
SUCO DE UVAS CONCENTRADO;-;1970
OUTROS PRODUTOS COMERCIALIZADOS;19.844.550;1970
Outros vinhos (sem informação detalhada);-;1970
Agrin (fermentado, acetico misto);-;1970
Aguardente de vinho 50°gl;-;1970
Alcool vinico;-;1970
Bagaceira (graspa);1.192.987;1970
Base champenoise champanha;-;1970
Base charmat champanha;-;1970
Base espumante moscatel;-;1970
Bebida de uva;-;1970
Borra líquida;-;1970
Borra seca;-;1970
Brandy (conhaque);9.388.296;1970
Cooler;-;1970
Coquetel com vinho;-;1970
Destilado de vinho;533.987;1970
Filtrado doce;346.403;1970
Jeropiga;-;1970
Mistelas;178.350;1970
Mosto concentrado;44.971;1970
Mosto de uva;-;1970
Mosto sulfitado;401.030;1970
Nectar de uva;-;1970
Outros produtos;-;1970
Polpa de uva;-;1970
Preparado líquido para refresco;-;1970
Refrigerante +50% suco;-;1970
Sangria;-;1970
Vinagre balsamico;-;1970
Vinagre duplo;-;1970
Vinagre simples;1.359.297;1970
Vinho acetificado;-;1970
Vinho base para espumantes;-;1970
Vinho composto;3.386.173;1970
Vinho licoroso;3.013.056;1970
Vinho leve;-;1970
Vinho gaseificado;-;1970
Total;135.765.587;1970
VINHO DE MESA;114.399.031;1971
Tinto;98.522.869;1971
Rosado;542.274;1971
Branco;15.333.888;1971
VINHO FINO DE MESA;4.840.369;1971
Tinto;428.927;1971
Rosado;227.299;1971
Branco;4.184.143;1971
VINHO FRIZANTE;358.116;1971
VINHO ORGÂNICO;-;1971
VINHO ESPECIAL;7.824.931;1971
Tinto;4.802.828;1971
Rosado;1.662.821;1971
Branco;1.359.282;1971
ESPUMANTES;2.907.289;1971
Espumante Moscatel;-;1971
Espumante;-;1971
Espumante Orgânico;-;1971
SUCO DE UVAS;2.745.249;1971
Suco Natural Integral;-;1971
Suco Adoçado;-;1971
Suco Reprocessado/reconstituido;-;1971
Suco Orgânico;-;1971
Outros sucos de uvas;-;1971
SUCO DE UVAS CONCENTRADO;-;1971
OUTROS PRODUTOS COMERCIALIZADOS;20.351.384;1971
Outros vinhos (sem informação detalhada);-;1971
Agrin (fermentado, acetico misto);-;1971
Aguardente de vinho 50°gl;-;1971
Alcool vinico;-;1971
Bagaceira (graspa);1.111.014;1971
Base champenoise champanha;-;1971
Base charmat champanha;-;1971
Base espumante moscatel;-;1971
Bebida de uva;-;1971
Borra líquida;-;1971
Borra seca;-;1971
Brandy (conhaque);9.893.167;1971
Cooler;-;1971
Coquetel com vinho;-;1971
Destilado de vinho;1.023.876;1971
Filtrado doce;432.991;1971
Jeropiga;-;1971
Mistelas;81.510;1971
Mosto concentrado;20.502;1971
Mosto de uva;-;1971
Mosto sulfitado;410.850;1971
Nectar de uva;-;1971
Outros produtos;-;1971
Polpa de uva;-;1971
Preparado líquido para refresco;-;1971
Refrigerante +50% suco;-;1971
Sangria;-;1971
Vinagre balsamico;-;1971
Vinagre duplo;-;1971
Vinagre simples;1.256.068;1971
Vinho acetificado;-;1971
Vinho base para espumantes;-;1971
Vinho composto;3.645.774;1971
Vinho licoroso;2.475.632;1971
Vinho leve;-;1971
Vinho gaseificado;-;1971
Total;153.426.369;1971
VINHO DE MESA;118.377.367;1972
Tinto;101.167.932;1972
Rosado;7.770.851;1972
Branco;9.438.584;1972
VINHO FINO DE MESA;5.602.091;1972
Tinto;624.499;1972
Rosado;403.664;1972
Branco;4.573.928;1972
VINHO FRIZANTE;356.340;1972
VINHO ORGÂNICO;-;1972
VINHO ESPECIAL;8.737.605;1972
Tinto;4.347.706;1972
Rosado;1.901.801;1972
Branco;2.488.098;1972
ESPUMANTES;3.523.335;1972
Espumante Moscatel;-;1972
Espumante;-;1972
Espumante Orgânico;-;1972
SUCO DE UVAS;4.069.351;1972
Suco Natural Integral;-;1972
Suco Adoçado;-;1972
Suco Reprocessado/reconstituido;-;1972
Suco Orgânico;-;1972
Outros sucos de uvas;-;1972
SUCO DE UVAS CONCENTRADO;59.044;1972
OUTROS PRODUTOS COMERCIALIZADOS;23.615.205;1972
Outros vinhos (sem informação detalhada);-;1972
Agrin (fermentado, acetico misto);-;1972
Aguardente de vinho 50°gl;-;1972
Alcool vinico;-;1972
Bagaceira (graspa);1.059.696;1972
Base champenoise champanha;-;1972
Base charmat champanha;-;1972
Base espumante moscatel;-;1972
Bebida de uva;-;1972
Borra líquida;-;1972
Borra seca;-;1972
Brandy (conhaque);11.876.098;1972
Cooler;-;1972
Coquetel com vinho;-;1972
Destilado de vinho;1.573.023;1972
Filtrado doce;670.626;1972
Jeropiga;-;1972
Mistelas;133.865;1972
Mosto concentrado;-;1972
Mosto de uva;-;1972
Mosto sulfitado;447.600;1972
Nectar de uva;-;1972
Outros produtos;-;1972
Polpa de uva;-;1972
Preparado líquido para refresco;-;1972
Refrigerante +50% suco;-;1972
Sangria;-;1972
Vinagre balsamico;-;1972
