países;quantidade;valor;ano;opcao
Africa do Sul;-;-;1970;Vinhos de mesa
Alemanha;52.297;30.498;1970;Vinhos de mesa
Argélia;-;-;1970;Vinhos de mesa
Arábia Saudita;-;-;1970;Vinhos de mesa
Argentina;19.525;12.260;1970;Vinhos de mesa
Armênia;-;-;1970;Vinhos de mesa
Austrália;-;-;1970;Vinhos de mesa
Áustria;1.328;707;1970;Vinhos de mesa
Bermudas;-;-;1970;Vinhos de mesa
Bélgica;-;-;1970;Vinhos de mesa
Bolívia;-;-;1970;Vinhos de mesa
Bósnia-Herzegovina;-;-;1970;Vinhos de mesa
Brasil;-;-;1970;Vinhos de mesa
Bulgária;-;-;1970;Vinhos de mesa
Canada;-;-;1970;Vinhos de mesa
Chile;162.370;101.819;1970;Vinhos de mesa
China;-;-;1970;Vinhos de mesa
Coreia do Sul, República;-;-;1970;Vinhos de mesa
Croácia;-;-;1970;Vinhos de mesa
Cuba;-;-;1970;Vinhos de mesa
Emirados Árabes Unidos;-;-;1970;Vinhos de mesa
Eslovênia;-;-;1970;Vinhos de mesa
Eslováquia;-;-;1970;Vinhos de mesa
Espanha;261.126;90.159;1970;Vinhos de mesa
Estados Unidos;-;-;1970;Vinhos de mesa
França;91.544;78.135;1970;Vinhos de mesa
Geórgia;-;-;1970;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1970;Vinhos de mesa
Grécia;-;-;1970;Vinhos de mesa
Hong Kong;-;-;1970;Vinhos de mesa
Hungria;-;-;1970;Vinhos de mesa
Indonésia;-;-;1970;Vinhos de mesa
Irlanda;-;-;1970;Vinhos de mesa
Israel;-;-;1970;Vinhos de mesa
Itália;58.802;32.376;1970;Vinhos de mesa
Japão;-;-;1970;Vinhos de mesa
Iugoslávia;702;326;1970;Vinhos de mesa
Líbano;-;-;1970;Vinhos de mesa
Luxemburgo;-;-;1970;Vinhos de mesa
Macedônia;-;-;1970;Vinhos de mesa
Marrocos;-;-;1970;Vinhos de mesa
México;-;-;1970;Vinhos de mesa
Moldávia;-;-;1970;Vinhos de mesa
Montenegro;-;-;1970;Vinhos de mesa
Noruega;-;-;1970;Vinhos de mesa
Nova Zelândia;-;-;1970;Vinhos de mesa
Países Baixos (Holanda);-;-;1970;Vinhos de mesa
Panamá;-;-;1970;Vinhos de mesa
Peru;-;-;1970;Vinhos de mesa
Porto Rico;-;-;1970;Vinhos de mesa
Portugal;785.609;531.480;1970;Vinhos de mesa
Reino Unido;-;-;1970;Vinhos de mesa
Republica Dominicana;-;-;1970;Vinhos de mesa
Romênia;-;-;1970;Vinhos de mesa
Rússia;-;-;1970;Vinhos de mesa
San Marino;-;-;1970;Vinhos de mesa
Sérvia;-;-;1970;Vinhos de mesa
Síria;-;-;1970;Vinhos de mesa
Suazilândia;-;-;1970;Vinhos de mesa
Suíça;-;-;1970;Vinhos de mesa
Tcheca, República;-;-;1970;Vinhos de mesa
Tunísia;-;-;1970;Vinhos de mesa
Turquia;-;-;1970;Vinhos de mesa
Ucrânia;-;-;1970;Vinhos de mesa
Uruguai;5.767;1.871;1970;Vinhos de mesa
Não consta na tabela;-;-;1970;Vinhos de mesa
Não declarados;-;-;1970;Vinhos de mesa
Outros;5.508;4.255;1970;Vinhos de mesa
Total;1.444.578;883.886;1970;Vinhos de mesa
Africa do Sul;-;-;1970;Espumantes
Alemanha;-;-;1970;Espumantes
Argentina;4.980;3.836;1970;Espumantes
Austrália;-;-;1970;Espumantes
Áustria;-;-;1970;Espumantes
Bermudas;-;-;1970;Espumantes
Bahamas;-;-;1970;Espumantes
Bélgica;-;-;1970;Espumantes
Brasil;-;-;1970;Espumantes
Bulgária;-;-;1970;Espumantes
Canada;-;-;1970;Espumantes
Chile;-;-;1970;Espumantes
Croácia;-;-;1970;Espumantes
Cuba;-;-;1970;Espumantes
Emirados Árabes Unidos;-;-;1970;Espumantes
Eslovênia;-;-;1970;Espumantes
Espanha;12.981;8.568;1970;Espumantes
Estados Unidos;-;-;1970;Espumantes
França;18.458;45.798;1970;Espumantes
Geórgia;-;-;1970;Espumantes
Granada;-;-;1970;Espumantes
Grécia;-;-;1970;Espumantes
Hong Kong;-;-;1970;Espumantes
Hungria;-;-;1970;Espumantes
Indonésia;-;-;1970;Espumantes
Irlanda;-;-;1970;Espumantes
Israel;-;-;1970;Espumantes
Itália;-;-;1970;Espumantes
Luxemburgo;-;-;1970;Espumantes
México;-;-;1970;Espumantes
Moldávia;-;-;1970;Espumantes
Nova Zelândia;-;-;1970;Espumantes
Países Baixos;-;-;1970;Espumantes
Panamá;-;-;1970;Espumantes
Peru;-;-;1970;Espumantes
Portugal;1.603;2.240;1970;Espumantes
Reino Unido;-;-;1970;Espumantes
Romênia;-;-;1970;Espumantes
Suíça;-;-;1970;Espumantes
Tunísia;-;-;1970;Espumantes
Ucrânia;-;-;1970;Espumantes
Uruguai;-;-;1970;Espumantes
Não consta na tabela;-;-;1970;Espumantes
Não declarados;-;-;1970;Espumantes
Outros;291;1.859;1970;Espumantes
Total;38.313;62.301;1970;Espumantes
Argélia;-;-;1970;Uvas frescas
Argentina;2.412.831;782.408;1970;Uvas frescas
Brasil;-;-;1970;Uvas frescas
Chile;1.557.316;409.704;1970;Uvas frescas
Colômbia;-;-;1970;Uvas frescas
Egito;-;-;1970;Uvas frescas
Espanha;1.231.522;404.105;1970;Uvas frescas
Estados Unidos;94.669;39.610;1970;Uvas frescas
Grécia;126.248;25.488;1970;Uvas frescas
Itália;-;-;1970;Uvas frescas
México;23.240;11.024;1970;Uvas frescas
Peru;-;-;1970;Uvas frescas
Paraguai;-;-;1970;Uvas frescas
Portugal;28.150;13.872;1970;Uvas frescas
Panamá;-;-;1970;Uvas frescas
Reino Unido;-;-;1970;Uvas frescas
Uruguai;-;-;1970;Uvas frescas
Venezuela;-;-;1970;Uvas frescas
Não consta na tabela;-;-;1970;Uvas frescas
Outros;-;-;1970;Uvas frescas
Total;5.473.976;1.686.211;1970;Uvas frescas
Afeganistão;-;-;1970;Uvas passas
África do Sul;-;-;1970;Uvas passas
Alemanha, República Democrática;-;-;1970;Uvas passas
Arábia Saudita;-;-;1970;Uvas passas
Argentina;1.530.058;845.068;1970;Uvas passas
Austrália;-;-;1970;Uvas passas
Bélgica;-;-;1970;Uvas passas
Chile;4.000;1.040;1970;Uvas passas
China;-;-;1970;Uvas passas
China Continental;-;-;1970;Uvas passas
Cingapura;-;-;1970;Uvas passas
Costa Rica;-;-;1970;Uvas passas
Emirados;-;-;1970;Uvas passas
Espanha;20.000;9.584;1970;Uvas passas
Estados Unidos;415.210;305.494;1970;Uvas passas
França;-;-;1970;Uvas passas
Grécia;178.475;56.586;1970;Uvas passas
Guiana Britânica;334;202;1970;Uvas passas
Índia;-;-;1970;Uvas passas
Irã;-;-;1970;Uvas passas
Itália;33.600;11.396;1970;Uvas passas
Japão;-;-;1970;Uvas passas
México;170.172;100.310;1970;Uvas passas
Países Baixos;104;91;1970;Uvas passas
Paraguai;-;-;1970;Uvas passas
Peru;-;-;1970;Uvas passas
Portugal;-;-;1970;Uvas passas
Reino Unido;39;29;1970;Uvas passas
Suécia;12.000;3.866;1970;Uvas passas
Turquia;124.832;41.962;1970;Uvas passas
Uruguai;-;-;1970;Uvas passas
Uzbequistão;-;-;1970;Uvas passas
Venezuela;-;-;1970;Uvas passas
Não consta na tabela;-;-;1970;Uvas passas
Outros;-;-;1970;Uvas passas
Total;2.488.824;1.375.628;1970;Uvas passas
Africa do Sul;-;-;1970;Suco de uva
Alemanha;-;-;1970;Suco de uva
Argentina;-;-;1970;Suco de uva
Austria;-;-;1970;Suco de uva
Canadá;-;-;1970;Suco de uva
Coreia do Sul, República;-;-;1970;Suco de uva
Coreia do Norte, República;-;-;1970;Suco de uva
Chile;-;-;1970;Suco de uva
China;-;-;1970;Suco de uva
Dinamarca;-;-;1970;Suco de uva
Espanha;-;-;1970;Suco de uva
Estados Unidos;-;-;1970;Suco de uva
França;-;-;1970;Suco de uva
Guiana;-;-;1970;Suco de uva
Israel;-;-;1970;Suco de uva
itália;-;-;1970;Suco de uva
Japão;-;-;1970;Suco de uva
Líbano;-;-;1970;Suco de uva
México;-;-;1970;Suco de uva
Países Baixos;-;-;1970;Suco de uva
Panamá;-;-;1970;Suco de uva
Peru;-;-;1970;Suco de uva
Portugal;-;-;1970;Suco de uva
Reino Unido;-;-;1970;Suco de uva
Taiwan;-;-;1970;Suco de uva
Turquia;-;-;1970;Suco de uva
Uruguai;-;-;1970;Suco de uva
Venezuela;-;-;1970;Suco de uva
Outros;-;-;1970;Suco de uva
Total;0;0;1970;Suco de uva
Africa do Sul;-;-;1971;Vinhos de mesa
Alemanha;34.606;26.027;1971;Vinhos de mesa
Argélia;-;-;1971;Vinhos de mesa
Arábia Saudita;-;-;1971;Vinhos de mesa
Argentina;24.942;15.022;1971;Vinhos de mesa
Armênia;-;-;1971;Vinhos de mesa
Austrália;-;-;1971;Vinhos de mesa
Áustria;-;-;1971;Vinhos de mesa
Bermudas;-;-;1971;Vinhos de mesa
Bélgica;-;-;1971;Vinhos de mesa
Bolívia;-;-;1971;Vinhos de mesa
Bósnia-Herzegovina;-;-;1971;Vinhos de mesa
Brasil;-;-;1971;Vinhos de mesa
Bulgária;-;-;1971;Vinhos de mesa
Canada;-;-;1971;Vinhos de mesa
Chile;74.406;52.240;1971;Vinhos de mesa
China;-;-;1971;Vinhos de mesa
Coreia do Sul, República;-;-;1971;Vinhos de mesa
Croácia;-;-;1971;Vinhos de mesa
Cuba;-;-;1971;Vinhos de mesa
Emirados Árabes Unidos;-;-;1971;Vinhos de mesa
Eslovênia;-;-;1971;Vinhos de mesa
Eslováquia;-;-;1971;Vinhos de mesa
Espanha;140.507;50.191;1971;Vinhos de mesa
Estados Unidos;915;190;1971;Vinhos de mesa
França;88.714;72.978;1971;Vinhos de mesa
Geórgia;-;-;1971;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1971;Vinhos de mesa
Grécia;-;-;1971;Vinhos de mesa
Hong Kong;-;-;1971;Vinhos de mesa
Hungria;-;-;1971;Vinhos de mesa
Indonésia;-;-;1971;Vinhos de mesa
Irlanda;-;-;1971;Vinhos de mesa
Israel;-;-;1971;Vinhos de mesa
Itália;108.409;56.377;1971;Vinhos de mesa
Japão;-;-;1971;Vinhos de mesa
Iugoslávia;640;375;1971;Vinhos de mesa
Líbano;-;-;1971;Vinhos de mesa
Luxemburgo;-;-;1971;Vinhos de mesa
Macedônia;-;-;1971;Vinhos de mesa
Marrocos;-;-;1971;Vinhos de mesa
México;-;-;1971;Vinhos de mesa
Moldávia;-;-;1971;Vinhos de mesa
Montenegro;-;-;1971;Vinhos de mesa
Noruega;-;-;1971;Vinhos de mesa
Nova Zelândia;-;-;1971;Vinhos de mesa
Países Baixos (Holanda);-;-;1971;Vinhos de mesa
Panamá;-;-;1971;Vinhos de mesa
Peru;-;-;1971;Vinhos de mesa
Porto Rico;-;-;1971;Vinhos de mesa
Portugal;897.310;620.790;1971;Vinhos de mesa
Reino Unido;-;-;1971;Vinhos de mesa
Republica Dominicana;-;-;1971;Vinhos de mesa
Romênia;-;-;1971;Vinhos de mesa
Rússia;-;-;1971;Vinhos de mesa
San Marino;-;-;1971;Vinhos de mesa
Sérvia;-;-;1971;Vinhos de mesa
Síria;-;-;1971;Vinhos de mesa
Suazilândia;-;-;1971;Vinhos de mesa
Suíça;-;-;1971;Vinhos de mesa
Tcheca, República;-;-;1971;Vinhos de mesa
Tunísia;-;-;1971;Vinhos de mesa
Turquia;-;-;1971;Vinhos de mesa
Ucrânia;-;-;1971;Vinhos de mesa
Uruguai;1.917;636;1971;Vinhos de mesa
Não consta na tabela;-;-;1971;Vinhos de mesa
Não declarados;-;-;1971;Vinhos de mesa
Outros;77.789;42.028;1971;Vinhos de mesa
Total;1.450.155;936.854;1971;Vinhos de mesa
Africa do Sul;-;-;1971;Espumantes
Alemanha;25;36;1971;Espumantes
Argentina;8.811;7.543;1971;Espumantes
Austrália;-;-;1971;Espumantes
Áustria;-;-;1971;Espumantes
Bermudas;-;-;1971;Espumantes
Bahamas;-;-;1971;Espumantes
Bélgica;-;-;1971;Espumantes
Brasil;-;-;1971;Espumantes
Bulgária;-;-;1971;Espumantes
Canada;-;-;1971;Espumantes
Chile;-;-;1971;Espumantes
Croácia;-;-;1971;Espumantes
Cuba;-;-;1971;Espumantes
Emirados Árabes Unidos;-;-;1971;Espumantes
Eslovênia;-;-;1971;Espumantes
Espanha;7.865;5.230;1971;Espumantes
Estados Unidos;-;-;1971;Espumantes
França;26.523;72.645;1971;Espumantes
Geórgia;-;-;1971;Espumantes
Granada;-;-;1971;Espumantes
Grécia;-;-;1971;Espumantes
Hong Kong;-;-;1971;Espumantes
Hungria;-;-;1971;Espumantes
Indonésia;-;-;1971;Espumantes
Irlanda;-;-;1971;Espumantes
Israel;360;349;1971;Espumantes
Itália;554;485;1971;Espumantes
Luxemburgo;-;-;1971;Espumantes
México;-;-;1971;Espumantes
Moldávia;-;-;1971;Espumantes
