cultivar;quantidade;ano;opcao;sem_definicao
TINTAS;10.448.228;1970;Viníferas;-
Alicante Bouschet;-;1970;Viníferas;-
Ancelota;-;1970;Viníferas;-
Aramon;-;1970;Viníferas;-
Alfrocheiro;-;1970;Viníferas;-
Arinarnoa;-;1970;Viníferas;-
Aspirant Bouschet;-;1970;Viníferas;-
Barbera;4.548.313;1970;Viníferas;-
Bonarda;1.631.610;1970;Viníferas;-
Cabernet Franc;238.837;1970;Viníferas;-
Cabernet Sauvignon;-;1970;Viníferas;-
Caladoc;-;1970;Viníferas;-
Campanario;-;1970;Viníferas;-
Canaiolo;596.766;1970;Viníferas;-
Carignan;-;1970;Viníferas;-
Carmenere;1.235;1970;Viníferas;-
Castelão;-;1970;Viníferas;-
Corvina;-;1970;Viníferas;-
Croatina;-;1970;Viníferas;-
Cinsaut;-;1970;Viníferas;-
Dom Felder;-;1970;Viníferas;-
Dolcetto;-;1970;Viníferas;-
Durif;-;1970;Viníferas;-
Egiodola;-;1970;Viníferas;-
Ekigaina;-;1970;Viníferas;-
Festival (Sugraone);-;1970;Viníferas;-
Franconia;-;1970;Viníferas;-
Freisa;1.661;1970;Viníferas;-
Gamay St Romain;-;1970;Viníferas;-
Gamay Beaujolais;-;1970;Viníferas;-
Grand Noir;-;1970;Viníferas;-
Grenache;19.753;1970;Viníferas;-
Jaen;-;1970;Viníferas;-
Lagrein;-;1970;Viníferas;-
Lambrusco;2.259;1970;Viníferas;-
Malbec;4.097;1970;Viníferas;-
Marzemina;62.546;1970;Viníferas;-
Merlot;185.596;1970;Viníferas;-
Marselan;-;1970;Viníferas;-
Molinera;-;1970;Viníferas;-
Montepulciano;-;1970;Viníferas;-
Moscato Bailey;-;1970;Viníferas;-
Napa Gamay;-;1970;Viníferas;-
Nebbiolo;-;1970;Viníferas;-
Petit Verdot;-;1970;Viníferas;-
Petite Sirah;-;1970;Viníferas;-
Pinotage;-;1970;Viníferas;-
Pinot Noir;-;1970;Viníferas;-
Pinot Saint George;-;1970;Viníferas;-
Piriquita;-;1970;Viníferas;-
Rebo;-;1970;Viníferas;-
Refosco;-;1970;Viníferas;-
Rondinella;-;1970;Viníferas;-
Ruby Cabernet;-;1970;Viníferas;-
Sangiovese;27.566;1970;Viníferas;-
Sira (falsa);3.127.989;1970;Viníferas;-
Tannat;-;1970;Viníferas;-
Tempranillo;-;1970;Viníferas;-
Teroldego;-;1970;Viníferas;-
Torrontes;-;1970;Viníferas;-
Tinta Barroca;-;1970;Viníferas;-
Touriga Francesa;-;1970;Viníferas;-
Touriga Nacional;-;1970;Viníferas;-
Tinta Madeira;-;1970;Viníferas;-
Tintoria;-;1970;Viníferas;-
Trincdeira;-;1970;Viníferas;-
Trousseau;-;1970;Viníferas;-
Zinfandel;-;1970;Viníferas;-
Outras1;-;1970;Viníferas;-
BRANCAS E ROSADAS;18.858.541;1970;Viníferas;-
Aliatico;-;1970;Viníferas;-
Aligote;530;1970;Viníferas;-
Altesse;-;1970;Viníferas;-
Alvarinho;-;1970;Viníferas;-
Arriloba;-;1970;Viníferas;-
Auxerrois;-;1970;Viníferas;-
Burger;-;1970;Viníferas;-
Chardonnay;-;1970;Viníferas;-
Chasselas;-;1970;Viníferas;-
Chenin Blanc;-;1970;Viníferas;-
Clairette(1);146.617;1970;Viníferas;-
Colombard;-;1970;Viníferas;-
Flora;-;1970;Viníferas;-
Garganega;-;1970;Viníferas;-
Gewurztraminer;-;1970;Viníferas;-
Gouveio;-;1970;Viníferas;-
Gros Manseng;-;1970;Viníferas;-
Italia (Pirovano 65) (PE);-;1970;Viníferas;-
Maccabeo;-;1970;Viníferas;-
Malvasia;878.012;1970;Viníferas;-
