produto;quantidade;ano
VINHO DE MESA;217.208.604;1970
Tinto;174.224.052;1970
Branco;748.400;1970
Rosado;42.236.152;1970
VINHO FINO DE MESA (VINIFERA);23.899.346;1970
Tinto;7.591.557;1970
Branco;15.562.889;1970
Rosado;744.900;1970
SUCO;1.097.771;1970
Suco de uva integral;1.097.771;1970
Suco de uva concentrado;-;1970
Suco de uva adoçado;-;1970
Suco de uva orgânico;-;1970
Suco de uva reconstituído;-;1970
DERIVADOS;14.164.329;1970
Espumante;-;1970
Espumante moscatel;-;1970
Base espumante;-;1970
Base espumante moscatel;-;1970
Base Champenoise champanha;-;1970
Base Charmat champanha;-;1970
Bebida de uva;-;1970
Polpa de uva;-;1970
Mosto simples;7.170.736;1970
Mosto concentrado;-;1970
Mosto de uva com bagaço;-;1970
Mosto dessulfitado;-;1970
Mistelas;1.072.100;1970
Néctar de uva;-;1970
Licorosos;282.500;1970
Compostos;-;1970
Jeropiga;-;1970
Filtrado;-;1970
Frisante;-;1970
Vinho leve;-;1970
Vinho licoroso;-;1970
Brandy;-;1970
Destilado;830.030;1970
Bagaceira;961.290;1970
Licor de bagaceira;-;1970
Vinagre;-;1970
Borra líquida;3.847.673;1970
Borra seca;-;1970
Vinho Composto;-;1970
Pisco;-;1970
Vinho orgânico;-;1970
Espumante orgânico;-;1970
Destilado alcoólico simples de bagaceira;-;1970
Vinho acidificado;-;1970
Mosto parcialmente fermentado;-;1970
Outros derivados;-;1970
Total;256.370.050;1970
VINHO DE MESA;154.264.651;1971
Tinto;121.133.369;1971
Branco;1.160.500;1971
Rosado;31.970.782;1971
VINHO FINO DE MESA (VINIFERA);23.586.062;1971
Tinto;7.265.666;1971
Branco;15.655.709;1971
Rosado;664.687;1971
SUCO;2.296.654;1971
Suco de uva integral;2.296.654;1971
Suco de uva concentrado;-;1971
Suco de uva adoçado;-;1971
Suco de uva orgânico;-;1971
Suco de uva reconstituído;-;1971
DERIVADOS;13.280.518;1971
Espumante;-;1971
Espumante moscatel;-;1971
Base espumante;-;1971
Base espumante moscatel;-;1971
Base Champenoise champanha;-;1971
Base Charmat champanha;-;1971
Bebida de uva;-;1971
Polpa de uva;-;1971
Mosto simples;7.646.774;1971
Mosto concentrado;-;1971
Mosto de uva com bagaço;-;1971
Mosto dessulfitado;-;1971
Mistelas;818.400;1971
Néctar de uva;-;1971
Licorosos;270.000;1971
Compostos;45.000;1971
Jeropiga;-;1971
Filtrado;-;1971
Frisante;-;1971
Vinho leve;-;1971
Vinho licoroso;-;1971
Brandy;-;1971
Destilado;-;1971
Bagaceira;913.200;1971
Licor de bagaceira;-;1971
Vinagre;21.500;1971
Borra líquida;3.565.644;1971
Borra seca;-;1971
Vinho Composto;-;1971
Pisco;-;1971
Vinho orgânico;-;1971
Espumante orgânico;-;1971
Destilado alcoólico simples de bagaceira;-;1971
Vinho acidificado;-;1971
Mosto parcialmente fermentado;-;1971
Outros derivados;-;1971
Total;193.427.885;1971
VINHO DE MESA;146.953.297;1972
Tinto;118.180.926;1972
Branco;1.812.367;1972
Rosado;26.960.004;1972
VINHO FINO DE MESA (VINIFERA);21.078.771;1972
Tinto;6.782.837;1972
Branco;13.289.304;1972
Rosado;1.006.630;1972
SUCO;3.509.440;1972
Suco de uva integral;3.509.440;1972
Suco de uva concentrado;-;1972
Suco de uva adoçado;-;1972
Suco de uva orgânico;-;1972
Suco de uva reconstituído;-;1972
DERIVADOS;12.314.509;1972
Espumante;-;1972
Espumante moscatel;-;1972
Base espumante;-;1972
Base espumante moscatel;-;1972
Base Champenoise champanha;-;1972
Base Charmat champanha;-;1972
Bebida de uva;-;1972
Polpa de uva;-;1972
Mosto simples;6.051.822;1972
Mosto concentrado;-;1972
Mosto de uva com bagaço;-;1972
Mosto dessulfitado;-;1972
Mistelas;871.200;1972
Néctar de uva;-;1972
Licorosos;254.600;1972
Compostos;1.358.300;1972
Jeropiga;-;1972
Filtrado;-;1972
Frisante;-;1972
Vinho leve;-;1972
Vinho licoroso;-;1972
Brandy;-;1972
Destilado;-;1972
Bagaceira;755.350;1972
Licor de bagaceira;-;1972
Vinagre;8.200;1972
Borra líquida;3.015.037;1972
Borra seca;-;1972
Vinho Composto;-;1972
Pisco;-;1972
Vinho orgânico;-;1972
Espumante orgânico;-;1972
Destilado alcoólico simples de bagaceira;-;1972
Vinho acidificado;-;1972
Mosto parcialmente fermentado;-;1972
Outros derivados;-;1972
Total;183.856.017;1972
VINHO DE MESA;116.710.345;1973
Tinto;88.589.019;1973
Branco;243.900;1973
Rosado;27.877.426;1973
VINHO FINO DE MESA (VINIFERA);12.368.410;1973
Tinto;3.419.625;1973
Branco;7.930.070;1973
Rosado;1.018.715;1973
SUCO;-;1973
Suco de uva integral;-;1973
Suco de uva concentrado;-;1973
Suco de uva adoçado;-;1973
Suco de uva orgânico;-;1973
Suco de uva reconstituído;-;1973
DERIVADOS;28.317.919;1973
Espumante;-;1973
Espumante moscatel;-;1973
Base espumante;-;1973
Base espumante moscatel;-;1973
Base Champenoise champanha;-;1973
Base Charmat champanha;-;1973
Bebida de uva;-;1973
Polpa de uva;-;1973
Mosto simples;21.779.327;1973
Mosto concentrado;-;1973
Mosto de uva com bagaço;-;1973
Mosto dessulfitado;-;1973
Mistelas;512.900;1973
Néctar de uva;-;1973
Licorosos;176.500;1973
Compostos;1.628.000;1973
Jeropiga;-;1973
Filtrado;-;1973
Frisante;-;1973
Vinho leve;-;1973
Vinho licoroso;-;1973
Brandy;-;1973
Destilado;-;1973
Bagaceira;661.270;1973
Licor de bagaceira;-;1973
Vinagre;-;1973
Borra líquida;3.559.922;1973
Borra seca;-;1973
Vinho Composto;-;1973
Pisco;-;1973
Vinho orgânico;-;1973
Espumante orgânico;-;1973
Destilado alcoólico simples de bagaceira;-;1973
Vinho acidificado;-;1973
Mosto parcialmente fermentado;-;1973
Outros derivados;-;1973
Total;157.396.674;1973
VINHO DE MESA;193.875.345;1974
Tinto;146.544.484;1974
Branco;4.138.768;1974
Rosado;43.192.093;1974
VINHO FINO DE MESA (VINIFERA);31.644.124;1974
Tinto;10.047.658;1974
Branco;18.927.471;1974
Rosado;2.668.995;1974
SUCO;-;1974
Suco de uva integral;-;1974
Suco de uva concentrado;-;1974
Suco de uva adoçado;-;1974
Suco de uva orgânico;-;1974
Suco de uva reconstituído;-;1974
DERIVADOS;47.904.934;1974
Espumante;-;1974
Espumante moscatel;-;1974
Base espumante;-;1974
Base espumante moscatel;-;1974
Base Champenoise champanha;-;1974
Base Charmat champanha;-;1974
Bebida de uva;-;1974
